jira号,执行结果,报告长度,备注,执行时间,分析执行时间
VCU-239490,成功,0,分析任务已启动，Issue: VCU-239490 正在后台处理中,2025-10-26 14:09:00,2026-09-08 18:02:53
VCU-420134,成功,0,分析任务已启动，Issue: VCU-420134 正在后台处理中,2026-01-30 17:05:11,2026-09-08 18:02:53
VCU-538627,成功,0,分析任务已启动，Issue: VCU-538627 正在后台处理中,2025-08-27 15:23:00,2026-09-08 18:02:53
VCU-439461,成功,0,分析任务已启动，Issue: VCU-439461 正在后台处理中,2026-03-02 10:36:53,2026-09-08 18:02:53
VCU-488524,成功,0,分析任务已启动，Issue: VCU-488524 正在后台处理中,2026-05-15 13:59:38,2026-09-08 18:02:53
VCU-480451,成功,0,分析任务已启动，Issue: VCU-480451 正在后台处理中,2026-04-22 18:48:19,2026-09-08 18:02:53
VCU-441359,成功,0,分析任务已启动，Issue: VCU-441359 正在后台处理中,2026-01-28 16:06:40,2026-09-08 18:02:53
VCU-233369,成功,0,分析任务已启动，Issue: VCU-233369 正在后台处理中,2025-09-23 11:33:25,2026-09-08 18:02:53
VCU-218206,成功,0,分析任务已启动，Issue: VCU-218206 正在后台处理中,2025-07-19 17:28:12,2026-09-08 18:02:53
VCU-511938,成功,0,分析任务已启动，Issue: VCU-511938 正在后台处理中,2026-06-29 12:01:00,2026-09-08 18:02:53
VCU-230674,成功,0,分析任务已启动，Issue: VCU-230674 正在后台处理中,2025-07-30 13:40:42,2026-09-08 18:02:53
VCU-449344,成功,0,分析任务已启动，Issue: VCU-449344 正在后台处理中,2026-01-16 13:29:32,2026-09-08 18:02:53
VCU-492196,成功,0,分析任务已启动，Issue: VCU-492196 正在后台处理中,2025-05-25 13:43:00,2026-09-08 18:02:53
VCU-505492,成功,0,分析任务已启动，Issue: VCU-505492 正在后台处理中,2026-06-22 15:40:02,2026-09-08 18:02:53
VCU-217132,成功,0,分析任务已启动，Issue: VCU-217132 正在后台处理中,2025-07-23 11:32:43,2026-09-08 18:02:53
VCU-408914,成功,0,分析任务已启动，Issue: VCU-408914 正在后台处理中,2025-10-27 13:51:15,2026-09-08 18:02:53
VCU-232147,成功,0,分析任务已启动，Issue: VCU-232147 正在后台处理中,2025-08-11 13:14:23,2026-09-08 18:02:53
VCU-420583,成功,0,分析任务已启动，Issue: VCU-420583 正在后台处理中,2026-01-21 12:58:14,2026-09-08 18:02:53
VCU-498620,成功,0,分析任务已启动，Issue: VCU-498620 正在后台处理中,2026-06-08 14:50:00,2026-09-08 18:02:53
VCU-423540,成功,0,分析任务已启动，Issue: VCU-423540 正在后台处理中,2026-02-28 15:40:24,2026-09-08 18:02:53
VCU-442172,成功,0,分析任务已启动，Issue: VCU-442172 正在后台处理中,2026-03-06 10:26:31,2026-09-08 18:02:53
VCU-435990,成功,0,分析任务已启动，Issue: VCU-435990 正在后台处理中,2025-09-03 10:37:59,2026-09-08 18:02:53
VCU-542527,成功,0,分析任务已启动，Issue: VCU-542527 正在后台处理中,2026-09-07 13:45:16,2026-09-08 18:02:53
VCU-477424,成功,0,分析任务已启动，Issue: VCU-477424 正在后台处理中,2026-04-29 13:08:22,2026-09-08 18:02:53
VCU-519596,成功,0,分析任务已启动，Issue: VCU-519596 正在后台处理中,2025-07-14 13:35:00,2026-09-08 18:02:53
VCU-222395,成功,0,分析任务已启动，Issue: VCU-222395 正在后台处理中,2025-07-03 17:48:51,2026-09-08 18:02:53
